city,year,avg_temperature,avg_humidity,precipitation,state_region,country,baseline_water_stress,water_depletion,seasonal_variability,drought_severity,city_clean,compute_growth_score,hyperscaler_presence,data_center_count,estimated_mw_capacity
"Hyderabad, India",2024,26.44,65.22,926.85,Telangana,India,2.701609259268164,1.8844779114636343,2.314745046529156,2.3524243126627,Hyderabad,High,1,40,200
"Chennai, India",2020,27.9,74.88,1560.54,Tamil Nadu,India,3.65930651979554,2.496890872145024,1.5090032982660149,1.34682989399126,Chennai,High,1,40,200
"Chennai, India",2021,27.61,76.3,1841.35,Tamil Nadu,India,3.65930651979554,2.496890872145024,1.5090032982660149,1.34682989399126,Chennai,High,1,40,200
"Chennai, India",2022,27.65,75.95,1364.28,Tamil Nadu,India,3.65930651979554,2.496890872145024,1.5090032982660149,1.34682989399126,Chennai,High,1,40,200
"Chennai, India",2023,27.99,74.78,1525.88,Tamil Nadu,India,3.65930651979554,2.496890872145024,1.5090032982660149,1.34682989399126,Chennai,High,1,40,200
"Chennai, India",2024,28.36,74.67,1623.87,Tamil Nadu,India,3.65930651979554,2.496890872145024,1.5090032982660149,1.34682989399126,Chennai,High,1,40,200
"Delhi, India",2020,25.12,48.93,621.07,NCT of Delhi,India,4.749015102378233,3.849391316508739,2.1900961952959244,3.427128859425405,Delhi,High,1,40,200
"Delhi, India",2021,24.72,53.76,1045.35,NCT of Delhi,India,4.749015102378233,3.849391316508739,2.1900961952959244,3.427128859425405,Delhi,High,1,40,200
"Delhi, India",2022,25.49,53.74,791.64,NCT of Delhi,India,4.749015102378233,3.849391316508739,2.1900961952959244,3.427128859425405,Delhi,High,1,40,200
"Delhi, India",2023,24.73,54.88,895.14,NCT of Delhi,India,4.749015102378233,3.849391316508739,2.1900961952959244,3.427128859425405,Delhi,High,1,40,200
"Delhi, India",2024,25.51,51.0,828.14,NCT of Delhi,India,4.749015102378233,3.849391316508739,2.1900961952959244,3.427128859425405,Delhi,High,1,40,200
"Noida, India",2020,25.12,48.93,621.07,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Noida,High,1,40,200
"Noida, India",2021,24.72,53.76,1045.35,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Noida,High,1,40,200
"Noida, India",2022,25.49,53.74,791.64,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Noida,High,1,40,200
"Noida, India",2023,24.73,54.88,895.14,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Noida,High,1,40,200
"Noida, India",2024,25.51,51.0,828.14,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Noida,High,1,40,200
"Ahmedabad, India",2020,26.82,56.58,980.85,Gujarat,India,4.352584266252541,3.6123892870720686,3.3181346978986,2.959714870036162,Ahmedabad,Medium,0,15,80
"Ahmedabad, India",2021,27.58,52.08,706.77,Gujarat,India,4.352584266252541,3.6123892870720686,3.3181346978986,2.959714870036162,Ahmedabad,Medium,0,15,80
"Ahmedabad, India",2022,27.47,52.11,786.92,Gujarat,India,4.352584266252541,3.6123892870720686,3.3181346978986,2.959714870036162,Ahmedabad,Medium,0,15,80
"Ahmedabad, India",2023,27.09,53.87,918.59,Gujarat,India,4.352584266252541,3.6123892870720686,3.3181346978986,2.959714870036162,Ahmedabad,Medium,0,15,80
"Ahmedabad, India",2024,27.39,54.51,998.46,Gujarat,India,4.352584266252541,3.6123892870720686,3.3181346978986,2.959714870036162,Ahmedabad,Medium,0,15,80
"Kolkata, India",2020,25.34,77.62,1698.98,West Bengal,India,2.1560497617166083,1.710027554904936,1.3312542893098878,2.393545805151298,Kolkata,Medium,0,15,80
"Kolkata, India",2021,26.11,74.96,2386.5,West Bengal,India,2.1560497617166083,1.710027554904936,1.3312542893098878,2.393545805151298,Kolkata,Medium,0,15,80
"Kolkata, India",2022,25.56,76.69,1329.8,West Bengal,India,2.1560497617166083,1.710027554904936,1.3312542893098878,2.393545805151298,Kolkata,Medium,0,15,80
"Kolkata, India",2023,26.62,71.2,1458.03,West Bengal,India,2.1560497617166083,1.710027554904936,1.3312542893098878,2.393545805151298,Kolkata,Medium,0,15,80
"Kolkata, India",2024,26.33,74.47,1883.34,West Bengal,India,2.1560497617166083,1.710027554904936,1.3312542893098878,2.393545805151298,Kolkata,Medium,0,15,80
"Kochi, India",2020,27.83,78.53,2804.23,Kerala,India,3.474190306128611,2.0580764657572,1.2319759678945166,1.3528679642211987,Kochi,Medium,0,15,80
"Kochi, India",2021,27.29,80.84,3386.65,Kerala,India,3.474190306128611,2.0580764657572,1.2319759678945166,1.3528679642211987,Kochi,Medium,0,15,80
"Kochi, India",2022,27.15,80.33,2909.48,Kerala,India,3.474190306128611,2.0580764657572,1.2319759678945166,1.3528679642211987,Kochi,Medium,0,15,80
"Kochi, India",2023,27.86,76.93,2303.01,Kerala,India,3.474190306128611,2.0580764657572,1.2319759678945166,1.3528679642211987,Kochi,Medium,0,15,80
"Kochi, India",2024,28.12,78.96,2708.31,Kerala,India,3.474190306128611,2.0580764657572,1.2319759678945166,1.3528679642211987,Kochi,Medium,0,15,80
"Visakhapatnam, India",2020,27.36,77.85,1482.37,Andhra Pradesh,India,3.82635154957966,2.822100972147614,1.630204604087447,1.6634926920201425,Visakhapatnam,Medium,0,15,80
"Visakhapatnam, India",2021,27.53,77.41,1366.34,Andhra Pradesh,India,3.82635154957966,2.822100972147614,1.630204604087447,1.6634926920201425,Visakhapatnam,Medium,0,15,80
"Visakhapatnam, India",2022,27.23,78.03,1291.22,Andhra Pradesh,India,3.82635154957966,2.822100972147614,1.630204604087447,1.6634926920201425,Visakhapatnam,Medium,0,15,80
"Visakhapatnam, India",2023,27.62,75.64,1274.53,Andhra Pradesh,India,3.82635154957966,2.822100972147614,1.630204604087447,1.6634926920201425,Visakhapatnam,Medium,0,15,80
"Visakhapatnam, India",2024,27.77,78.01,1385.27,Andhra Pradesh,India,3.82635154957966,2.822100972147614,1.630204604087447,1.6634926920201425,Visakhapatnam,Medium,0,15,80
"Jaipur, India",2020,25.1,45.71,559.09,Rajasthan,India,4.690904828238736,4.311522080650315,3.6414923917256754,2.771802576236704,Jaipur,Medium,0,15,80
"Jaipur, India",2021,25.21,49.94,835.11,Rajasthan,India,4.690904828238736,4.311522080650315,3.6414923917256754,2.771802576236704,Jaipur,Medium,0,15,80
"Jaipur, India",2022,25.41,50.12,798.9,Rajasthan,India,4.690904828238736,4.311522080650315,3.6414923917256754,2.771802576236704,Jaipur,Medium,0,15,80
"Jaipur, India",2023,24.76,50.18,744.35,Rajasthan,India,4.690904828238736,4.311522080650315,3.6414923917256754,2.771802576236704,Jaipur,Medium,0,15,80
"Jaipur, India",2024,25.21,51.37,1101.52,Rajasthan,India,4.690904828238736,4.311522080650315,3.6414923917256754,2.771802576236704,Jaipur,Medium,0,15,80
"Lucknow, India",2020,24.98,56.6,900.43,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Lucknow,Medium,0,15,80
"Lucknow, India",2021,25.46,54.88,1047.85,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Lucknow,Medium,0,15,80
"Lucknow, India",2022,25.61,57.87,1104.71,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Lucknow,Medium,0,15,80
"Lucknow, India",2023,25.61,55.29,876.75,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Lucknow,Medium,0,15,80
"Lucknow, India",2024,25.91,54.38,919.48,Uttar Pradesh,India,4.4916415250441615,3.8238969336846105,2.0267770794710938,3.5208860672219537,Lucknow,Medium,0,15,80
"Nagpur, India",2020,25.78,65.38,1374.48,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Nagpur,Medium,0,15,80
"Nagpur, India",2021,26.49,59.74,1175.13,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Nagpur,Medium,0,15,80
"Nagpur, India",2022,26.58,60.48,1705.22,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Nagpur,Medium,0,15,80
"Nagpur, India",2023,26.47,60.02,1399.52,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Nagpur,Medium,0,15,80
"Nagpur, India",2024,26.76,63.07,1591.19,Maharashtra,India,3.313116595405149,2.1662797016877824,2.345657877818029,2.64927576418246,Nagpur,Medium,0,15,80
"Indore, India",2020,25.31,59.05,1088.63,Madhya Pradesh,India,3.7897828299608807,2.656685946763848,2.278502101816598,2.877747432758207,Indore,Medium,0,15,80
"Indore, India",2021,25.74,57.07,966.01,Madhya Pradesh,India,3.7897828299608807,2.656685946763848,2.278502101816598,2.877747432758207,Indore,Medium,0,15,80
"Indore, India",2022,25.47,58.35,1298.84,Madhya Pradesh,India,3.7897828299608807,2.656685946763848,2.278502101816598,2.877747432758207,Indore,Medium,0,15,80
"Indore, India",2023,25.32,57.18,1126.92,Madhya Pradesh,India,3.7897828299608807,2.656685946763848,2.278502101816598,2.877747432758207,Indore,Medium,0,15,80
"Indore, India",2024,25.88,57.8,1160.68,Madhya Pradesh,India,3.7897828299608807,2.656685946763848,2.278502101816598,2.877747432758207,Indore,Medium,0,15,80
"Phoenix, USA",2020,23.23,30.22,157.11,Arizona,United States,3.621307686265388,3.396924459819147,3.1676922149801383,1.0953923392357718,Phoenix,Very High,1,70,350
"Phoenix, USA",2021,22.86,32.24,357.95,Arizona,United States,3.621307686265388,3.396924459819147,3.1676922149801383,1.0953923392357718,Phoenix,Very High,1,70,350
"Phoenix, USA",2022,22.46,34.08,278.53,Arizona,United States,3.621307686265388,3.396924459819147,3.1676922149801383,1.0953923392357718,Phoenix,Very High,1,70,350
"Phoenix, USA",2023,22.64,33.0,242.81,Arizona,United States,3.621307686265388,3.396924459819147,3.1676922149801383,1.0953923392357718,Phoenix,Very High,1,70,350
"Phoenix, USA",2024,23.37,31.36,216.77,Arizona,United States,3.621307686265388,3.396924459819147,3.1676922149801383,1.0953923392357718,Phoenix,Very High,1,70,350
"Dallas, USA",2020,18.77,71.01,1031.73,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Dallas,Very High,1,70,350
"Dallas, USA",2021,18.88,69.2,801.44,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Dallas,Very High,1,70,350
"Dallas, USA",2022,19.61,59.6,773.75,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Dallas,Very High,1,70,350
"Dallas, USA",2023,20.24,64.0,735.01,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Dallas,Very High,1,70,350
"Dallas, USA",2024,20.09,67.76,1052.7,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Dallas,Very High,1,70,350
"Austin, USA",2020,20.78,67.98,817.16,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Austin,High,1,40,200
"Austin, USA",2021,20.34,70.51,835.13,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Austin,High,1,40,200
"Austin, USA",2022,21.12,60.39,507.67,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Austin,High,1,40,200
"Austin, USA",2023,21.93,63.96,618.36,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Austin,High,1,40,200
"Austin, USA",2024,21.98,66.11,769.31,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Austin,High,1,40,200
"Seattle, USA",2020,10.79,84.1,1389.9,Washington,United States,0.3893144706188369,0.430460322000728,1.1070869296955193,1.1165355127328664,Seattle,High,1,40,200
"Seattle, USA",2021,10.82,82.74,1349.62,Washington,United States,0.3893144706188369,0.430460322000728,1.1070869296955193,1.1165355127328664,Seattle,High,1,40,200
"Seattle, USA",2022,10.61,83.81,1257.35,Washington,United States,0.3893144706188369,0.430460322000728,1.1070869296955193,1.1165355127328664,Seattle,High,1,40,200
"Seattle, USA",2023,11.08,83.53,1153.81,Washington,United States,0.3893144706188369,0.430460322000728,1.1070869296955193,1.1165355127328664,Seattle,High,1,40,200
"Seattle, USA",2024,10.17,86.65,1334.94,Washington,United States,0.3893144706188369,0.430460322000728,1.1070869296955193,1.1165355127328664,Seattle,High,1,40,200
"Chicago, USA",2020,10.36,79.9,969.74,Illinois,United States,1.4063494958910283,0.6324981532604594,1.9974110982746724,1.2700668594253126,Chicago,High,1,40,200
"Chicago, USA",2021,11.17,78.07,789.12,Illinois,United States,1.4063494958910283,0.6324981532604594,1.9974110982746724,1.2700668594253126,Chicago,High,1,40,200
"Chicago, USA",2022,9.87,78.97,863.1,Illinois,United States,1.4063494958910283,0.6324981532604594,1.9974110982746724,1.2700668594253126,Chicago,High,1,40,200
"Chicago, USA",2023,10.96,77.53,884.87,Illinois,United States,1.4063494958910283,0.6324981532604594,1.9974110982746724,1.2700668594253126,Chicago,High,1,40,200
"Chicago, USA",2024,11.82,77.39,980.77,Illinois,United States,1.4063494958910283,0.6324981532604594,1.9974110982746724,1.2700668594253126,Chicago,High,1,40,200
"Atlanta, USA",2020,16.38,79.93,1603.2,Georgia,United States,1.7198213494300847,0.8327215100267021,2.220347232761154,0.9170826905474598,Atlanta,Medium,1,15,80
"Atlanta, USA",2021,16.23,77.28,1329.2,Georgia,United States,1.7198213494300847,0.8327215100267021,2.220347232761154,0.9170826905474598,Atlanta,Medium,1,15,80
"Atlanta, USA",2022,16.25,73.08,1241.93,Georgia,United States,1.7198213494300847,0.8327215100267021,2.220347232761154,0.9170826905474598,Atlanta,Medium,1,15,80
"Atlanta, USA",2023,16.76,74.94,1298.99,Georgia,United States,1.7198213494300847,0.8327215100267021,2.220347232761154,0.9170826905474598,Atlanta,Medium,1,15,80
"Atlanta, USA",2024,17.04,74.63,1407.6,Georgia,United States,1.7198213494300847,0.8327215100267021,2.220347232761154,0.9170826905474598,Atlanta,Medium,1,15,80
"Virginia Beach, USA",2020,16.31,80.93,1564.97,Virginia,United States,2.3410940191280734,1.0372042756276316,2.255383051462396,0.7929678929620426,Virginia Beach,Medium,1,15,80
"Virginia Beach, USA",2021,16.05,78.27,1109.49,Virginia,United States,2.3410940191280734,1.0372042756276316,2.255383051462396,0.7929678929620426,Virginia Beach,Medium,1,15,80
"Virginia Beach, USA",2022,16.1,75.93,1002.21,Virginia,United States,2.3410940191280734,1.0372042756276316,2.255383051462396,0.7929678929620426,Virginia Beach,Medium,1,15,80
"Virginia Beach, USA",2023,16.64,77.76,1013.2,Virginia,United States,2.3410940191280734,1.0372042756276316,2.255383051462396,0.7929678929620426,Virginia Beach,Medium,1,15,80
"Virginia Beach, USA",2024,16.54,78.52,978.32,Virginia,United States,2.3410940191280734,1.0372042756276316,2.255383051462396,0.7929678929620426,Virginia Beach,Medium,1,15,80
"San Jose, USA",2020,14.87,68.6,245.92,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,San Jose,Medium,1,15,80
"San Jose, USA",2021,14.05,70.85,567.62,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,San Jose,Medium,1,15,80
"San Jose, USA",2022,14.14,71.08,439.3,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,San Jose,Medium,1,15,80
"San Jose, USA",2023,13.63,75.26,756.78,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,San Jose,Medium,1,15,80
"San Jose, USA",2024,14.69,73.43,679.01,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,San Jose,Medium,1,15,80
"Los Angeles, USA",2020,17.96,57.04,285.64,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,Los Angeles,High,1,40,200
"Los Angeles, USA",2021,17.61,54.78,347.01,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,Los Angeles,High,1,40,200
"Los Angeles, USA",2022,18.04,56.28,217.13,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,Los Angeles,High,1,40,200
"Los Angeles, USA",2023,16.59,65.13,701.83,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,Los Angeles,High,1,40,200
"Los Angeles, USA",2024,17.49,61.18,449.11,California,United States,3.1643076461845405,2.7950710468549738,2.7433738718797955,1.4845531135128291,Los Angeles,High,1,40,200
"Denver, USA",2020,9.45,45.82,340.85,Colorado,United States,2.797027460638943,2.380390285143174,1.957134590015157,1.6250053654179382,Denver,Medium,1,15,80
"Denver, USA",2021,9.59,47.73,444.88,Colorado,United States,2.797027460638943,2.380390285143174,1.957134590015157,1.6250053654179382,Denver,Medium,1,15,80
"Denver, USA",2022,9.15,46.01,412.37,Colorado,United States,2.797027460638943,2.380390285143174,1.957134590015157,1.6250053654179382,Denver,Medium,1,15,80
"Denver, USA",2023,8.88,50.75,577.74,Colorado,United States,2.797027460638943,2.380390285143174,1.957134590015157,1.6250053654179382,Denver,Medium,1,15,80
"Denver, USA",2024,10.15,47.74,422.22,Colorado,United States,2.797027460638943,2.380390285143174,1.957134590015157,1.6250053654179382,Denver,Medium,1,15,80
"Miami, USA",2020,26.07,77.1,1628.17,Florida,United States,1.8338619309161688,0.9683430770676296,2.595141018536553,1.1308966360010522,Miami,Medium,1,15,80
"Miami, USA",2021,25.85,75.62,1110.85,Florida,United States,1.8338619309161688,0.9683430770676296,2.595141018536553,1.1308966360010522,Miami,Medium,1,15,80
"Miami, USA",2022,26.09,76.7,1244.35,Florida,United States,1.8338619309161688,0.9683430770676296,2.595141018536553,1.1308966360010522,Miami,Medium,1,15,80
"Miami, USA",2023,26.47,76.09,1458.69,Florida,United States,1.8338619309161688,0.9683430770676296,2.595141018536553,1.1308966360010522,Miami,Medium,1,15,80
"Miami, USA",2024,26.18,77.2,1418.68,Florida,United States,1.8338619309161688,0.9683430770676296,2.595141018536553,1.1308966360010522,Miami,Medium,1,15,80
"New York, USA",2020,13.03,80.99,1424.9,New York,United States,1.0322182311064556,0.5088552536537364,1.4761435048337674,1.1601676231422318,New York,High,1,40,200
"New York, USA",2021,12.92,81.58,1399.64,New York,United States,1.0322182311064556,0.5088552536537364,1.4761435048337674,1.1601676231422318,New York,High,1,40,200
"New York, USA",2022,12.71,79.56,1337.88,New York,United States,1.0322182311064556,0.5088552536537364,1.4761435048337674,1.1601676231422318,New York,High,1,40,200
"New York, USA",2023,13.27,81.27,1586.25,New York,United States,1.0322182311064556,0.5088552536537364,1.4761435048337674,1.1601676231422318,New York,High,1,40,200
"New York, USA",2024,13.16,80.42,1320.9,New York,United States,1.0322182311064556,0.5088552536537364,1.4761435048337674,1.1601676231422318,New York,High,1,40,200
"Boston, USA",2020,10.51,77.83,1028.57,Massachusetts,United States,1.2447721096279278,0.6501931784578908,0.8356067127020175,0.5683625149723812,Boston,High,1,40,200
"Boston, USA",2021,10.22,81.44,1348.55,Massachusetts,United States,1.2447721096279278,0.6501931784578908,0.8356067127020175,0.5683625149723812,Boston,High,1,40,200
"Boston, USA",2022,10.46,76.91,1072.2,Massachusetts,United States,1.2447721096279278,0.6501931784578908,0.8356067127020175,0.5683625149723812,Boston,High,1,40,200
"Boston, USA",2023,10.41,83.21,1522.09,Massachusetts,United States,1.2447721096279278,0.6501931784578908,0.8356067127020175,0.5683625149723812,Boston,High,1,40,200
"Boston, USA",2024,10.52,79.55,1256.42,Massachusetts,United States,1.2447721096279278,0.6501931784578908,0.8356067127020175,0.5683625149723812,Boston,High,1,40,200
"Portland, USA",2020,10.73,82.23,1623.7,Oregon,United States,2.054509572995166,1.9688477092510144,1.9559071395792311,1.4464645967612342,Portland,Medium,1,15,80
"Portland, USA",2021,11.03,80.1,1628.19,Oregon,United States,2.054509572995166,1.9688477092510144,1.9559071395792311,1.4464645967612342,Portland,Medium,1,15,80
"Portland, USA",2022,10.7,80.95,1621.43,Oregon,United States,2.054509572995166,1.9688477092510144,1.9559071395792311,1.4464645967612342,Portland,Medium,1,15,80
"Portland, USA",2023,10.98,80.5,1410.23,Oregon,United States,2.054509572995166,1.9688477092510144,1.9559071395792311,1.4464645967612342,Portland,Medium,1,15,80
"Portland, USA",2024,10.82,82.08,1770.08,Oregon,United States,2.054509572995166,1.9688477092510144,1.9559071395792311,1.4464645967612342,Portland,Medium,1,15,80
"Houston, USA",2020,21.38,75.04,1052.15,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Houston,High,1,40,200
"Houston, USA",2021,20.73,77.96,1120.54,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Houston,High,1,40,200
"Houston, USA",2022,21.31,69.1,818.47,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Houston,High,1,40,200
"Houston, USA",2023,22.17,72.13,884.38,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Houston,High,1,40,200
"Houston, USA",2024,21.9,76.16,1380.91,Texas,United States,2.7627671001092096,2.2165467084104846,3.323840776768745,0.7776884994855672,Houston,High,1,40,200
"Las Vegas, USA",2020,20.61,26.94,81.3,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031,Las Vegas,Medium,1,15,80
"Las Vegas, USA",2021,20.93,26.96,101.19,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031,Las Vegas,Medium,1,15,80
"Las Vegas, USA",2022,20.44,28.87,108.87,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031,Las Vegas,Medium,1,15,80
"Las Vegas, USA",2023,19.69,32.69,189.7,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031,Las Vegas,Medium,1,15,80
"Las Vegas, USA",2024,21.38,28.06,98.41,Nevada,United States,3.868198083057271,3.6234652569254417,2.74747397797725,1.2229481913897031,Las Vegas,Medium,1,15,80
"Salt Lake City, USA",2020,9.23,52.56,295.28,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304,Salt Lake City,Medium,1,15,80
"Salt Lake City, USA",2021,9.66,54.88,489.1,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304,Salt Lake City,Medium,1,15,80
"Salt Lake City, USA",2022,8.68,56.89,445.06,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304,Salt Lake City,Medium,1,15,80
"Salt Lake City, USA",2023,8.25,63.59,582.8,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304,Salt Lake City,Medium,1,15,80
"Salt Lake City, USA",2024,9.76,56.96,576.83,Utah,United States,2.7010224442091864,2.354747307624773,2.4593252047017105,1.2721699049599304,Salt Lake City,Medium,1,15,80
"Minneapolis, USA",2020,6.85,79.44,751.74,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855,Minneapolis,Medium,1,15,80
"Minneapolis, USA",2021,8.35,73.2,681.8,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855,Minneapolis,Medium,1,15,80
"Minneapolis, USA",2022,6.45,73.72,709.91,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855,Minneapolis,Medium,1,15,80
"Minneapolis, USA",2023,8.27,76.49,863.55,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855,Minneapolis,Medium,1,15,80
"Minneapolis, USA",2024,8.9,74.68,989.38,Minnesota,United States,1.6343416753101454,0.775805840610359,2.48567522638496,1.2586609492228855,Minneapolis,Medium,1,15,80
"Detroit, USA",2020,9.76,78.18,807.71,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941,Detroit,Medium,1,15,80
"Detroit, USA",2021,10.26,77.58,924.14,Michigan,United States,0.8740179856116937,0.4119548075463508,2.07666254210376,2.355945263777941,Detroit,Medium,1,15,80
